Station_ID,Latitude,Longitude,LSTM_Modelling,LSTM_Prediction,CNN_Modelling,CNN_Prediction,MLP_Modelling,MLP_Prediction,forecast
1013500,47.23739,-68.58264,\images_new\USA\lstm\01013500_lstm_train.png,\images_new\USA\lstm\01013500_lstm_test.png,\images_new\USA\cnn\01013500_cnn_train.png,\images_new\USA\cnn\01013500_cnn_test.png,\images_new\USA\mlp\01013500_mlp_train.png,\images_new\USA\mlp\01013500_mlp_test.png,
1333000,42.70897,-73.19677,\images_new\USA\lstm\01333000_lstm_test.png,\images_new\USA\lstm\01333000_lstm_test.png,\images_new\USA\cnn\01333000_cnn_train.png,\images_new\USA\cnn\01333000_cnn_test.png,\images_new\USA\mlp\01333000_mlp_train.png,\images_new\USA\mlp\01333000_mlp_test.png,
2046000,37.06709,-77.60249,\images_new\USA\lstm\02046000_lstm_train.png,\images_new\USA\lstm\02046000_lstm_test.png,\images_new\USA\cnn\02046000_cnn_train.png,\images_new\USA\cnn\02046000_cnn_test.png,\images_new\USA\mlp\02046000_mlp_train.png,\images_new\USA\mlp\02046000_mlp_test.png,\images_new\USA\cnn\02046000_cnn_forecast.png
3010655,41.96173,-78.19807,\images_new\USA\lstm\03010655_lstm_train.png,\images_new\USA\lstm\03010655_lstm_test.png,\images_new\USA\cnn\03010655_cnn_train.png,\images_new\USA\cnn\03010655_cnn_test.png,\images_new\USA\mlp\03010655_mlp_train.png,\images_new\USA\mlp\03010655_mlp_test.png,
3439000,35.14333,-82.82472,\images_new\USA\lstm\03439000_lstm_train.png,\images_new\USA\lstm\03439000_lstm_test.png,\images_new\USA\cnn\03439000_cnn_train.png,\images_new\USA\cnn\03439000_cnn_test.png,\images_new\USA\mlp\03439000_mlp_train.png,\images_new\USA\mlp\03439000_mlp_test.png,
4015330,46.94688,-91.7924,\images_new\USA\lstm\04015330_lstm_train.png,\images_new\USA\lstm\04015330_lstm_test.png,\images_new\USA\cnn\04015330_cnn_train.png,\images_new\USA\cnn\04015330_cnn_test.png,\images_new\USA\mlp\04015330_mlp_train.png,\images_new\USA\mlp\04015330_mlp_test.png,
5056000,47.80555,-98.71622,\images_new\USA\lstm\05056000_lstm_train.png,\images_new\USA\lstm\05056000_lstm_test.png,\images_new\USA\cnn\05056000_cnn_train.png,\images_new\USA\cnn\05056000_cnn_test.png,\images_new\USA\mlp\05056000_mlp_train.png,\images_new\USA\mlp\05056000_mlp_test.png,
5291000,45.29163,-96.48756,\images_new\USA\lstm\05291000_lstm_train.png,\images_new\USA\lstm\05291000_lstm_test.png,\images_new\USA\cnn\05291000_cnn_train.png,\images_new\USA\cnn\05291000_cnn_test.png,\images_new\USA\mlp\05291000_mlp_train.png,\images_new\USA\mlp\05291000_mlp_test.png,
6037500,44.65687,-111.06827,\images_new\USA\lstm\06037500_lstm_train.png,\images_new\USA\lstm\06037500_lstm_test.png,\images_new\USA\cnn\06037500_cnn_train.png,\images_new\USA\cnn\06037500_cnn_test.png,\images_new\USA\mlp\06037500_mlp_train.png,\images_new\USA\mlp\06037500_mlp_test.png,
7056000,35.98318,-92.74755,\images_new\USA\lstm\07056000_lstm_train.png,\images_new\USA\lstm\07056000_lstm_test.png,\images_new\USA\cnn\07056000_cnn_train.png,\images_new\USA\cnn\07056000_cnn_test.png,\images_new\USA\mlp\07056000_mlp_train.png,\images_new\USA\mlp\07056000_mlp_test.png,
7290650,32.01778,-90.87694,\images_new\USA\lstm\07290650_lstm_train.png,\images_new\USA\lstm\07290650_lstm_test.png,\images_new\USA\cnn\07290650_cnn_train.png,\images_new\USA\cnn\07290650_cnn_test.png,\images_new\USA\mlp\07290650_mlp_train.png,\images_new\USA\mlp\07290650_mlp_test.png,
8023080,31.97933,-93.93408,\images_new\USA\lstm\08023080_lstm_train.png,\images_new\USA\lstm\08023080_lstm_test.png,\images_new\USA\cnn\08023080_cnn_train.png,\images_new\USA\cnn\08023080_cnn_test.png,\images_new\USA\mlp\08023080_mlp_train.png,\images_new\USA\mlp\08023080_mlp_test.png,
8267500,36.54169,-105.5564,\images_new\USA\lstm\08267500_lstm_train.png,\images_new\USA\lstm\08267500_lstm_test.png,\images_new\USA\cnn\08267500_cnn_train.png,\images_new\USA\cnn\08267500_cnn_test.png,\images_new\USA\mlp\08267500_mlp_train.png,\images_new\USA\mlp\08267500_mlp_test.png,
9034900,39.76026,-105.9064,\images_new\USA\lstm\09034900_lstm_train.png,\images_new\USA\lstm\09034900_lstm_test.png,\images_new\USA\cnn\09034900_cnn_train.png,\images_new\USA\cnn\09034900_cnn_test.png,\images_new\USA\mlp\09034900_mlp_train.png,\images_new\USA\mlp\09034900_mlp_test.png,
9386900,35.28253,-108.55341,\images_new\USA\lstm\09386900_lstm_train.png,\images_new\USA\lstm\09386900_lstm_test.png,\images_new\USA\cnn\09386900_cnn_train.png,\images_new\USA\cnn\09386900_cnn_test.png,\images_new\USA\mlp\09386900_mlp_train.png,\images_new\USA\mlp\09386900_mlp_test.png,
10023000,41.60994,-111.25409,\images_new\USA\lstm\10023000_lstm_train.png,\images_new\USA\lstm\10023000_lstm_test.png,\images_new\USA\cnn\10023000_cnn_train.png,\images_new\USA\cnn\10023000_cnn_test.png,\images_new\USA\mlp\10023000_mlp_train.png,\images_new\USA\mlp\10023000_mlp_test.png,
10258000,33.80502,-116.55918,\images_new\USA\lstm\10258000_lstm_train.png,\images_new\USA\lstm\10258000_lstm_test.png,\images_new\USA\cnn\10258000_cnn_train.png,\images_new\USA\cnn\10258000_cnn_test.png,\images_new\USA\mlp\10258000_mlp_train.png,\images_new\USA\mlp\10258000_mlp_test.png,
10396000,42.79083,-118.8675,\images_new\USA\lstm\10396000_lstm_train.png,\images_new\USA\lstm\10396000_lstm_test.png,\images_new\USA\cnn\10396000_cnn_train.png,\images_new\USA\cnn\10396000_cnn_test.png,\images_new\USA\mlp\10396000_mlp_train.png,\images_new\USA\mlp\10396000_mlp_test.png,